コニカミノルタ株式会社,5
コーニンクレッカ フィリップス エヌ ヴェ,5
富士フイルム株式会社,4
シーメンス メディカル ソリューションズ ユーエスエー インコーポレイテッド,3
株式会社東芝 他,3
