項番,出願番号,文献番号,"出願日
公知日
登録日",発明の名称,出願人,FI
34,特願2015-213294,特開2018-173672,"2015/10/29
2018/11/08
-",実装装置,株式会社Ｐｒｅｆｅｒｒｅｄ Ｎｅｔｗｏｒｋｓ,"G06N3/10 
G06F9/06,620@A 
G06F8/00"
35,特願2017-071680,特開2018-173342,"2017/03/31
2018/11/08
-",雨量センサ、雨量推定装置、雨量推定方法、および雨量推定システム,国立研究開発法人産業技術総合研究所,G01W1/14@C
36,特願2017-072523,特開2018-172208,"2017/03/31
2018/11/08
-",情報処理装置、情報処理方法、および情報処理プログラム,日立造船株式会社,"B66C13/48@C 
B66C15/00@E"
37,特願2017-071890,特開2018-171684,"2017/03/31
2018/11/08
-",ロボットの制御装置、機械学習装置及び機械学習方法,ファナック株式会社,"B25J13/00@Z 
G05B19/4155@V"
38,特願2017-070256,特開2018-171177,"2017/03/31
2018/11/08
-",眼底画像処理装置,大日本印刷株式会社,A61B3/14@M
39,特願2017-072856,特開2018-171039,"2017/03/31
2018/11/08
-",情報処理装置、情報処理方法、プログラム及び観察システム,ソニー株式会社,"C12M1/34@D 
G01B11/08@H 
G01B11/16@H 
他"
40,特願2017-069182,特開2018-170744,"2017/03/30
2018/11/01
-",リモコン制御システム、リモコン制御方法及びプログラム,株式会社エヌ・ティ・ティ・データ,"H04Q9/00,301@D 
H04Q9/00,331@Z"
41,特願2017-067334,特開2018-170675,"2017/03/30
2018/11/01
-",障害復旧手順最適化システムおよび障害復旧手順最適化方法,ＫＤＤＩ株式会社,"H04L12/70,100@Z 
G06N99/00,150 
G06N5/04"
42,特願2017-066477,特開2018-170629,"2017/03/29
2018/11/01
-",遠隔保守装置及び遠隔保守方法,京セラドキュメントソリューションズ株式会社,"H04N1/00,106@C 
B41J29/38@Z 
G03G15/00,480 
他"
43,特願2017-066059,特開2018-170618,"2017/03/29
2018/11/01
-",障害自動復旧システム、制御装置、手順作成装置およびプログラム,ＫＤＤＩ株式会社,"H04L12/24 
G06N99/00,150 
H04L12/70,100@Z 
他"
44,特願2018-006263,特開2018-170004,"2018/01/18
2018/11/01
-",新規患者の挙動を予測するためのシステムおよび方法,富士通株式会社,"G06Q50/22 
G06F17/30,210@D 
G06F17/30,170@Z 
他"
45,特願2017-196710,特開2018-169995,"2017/10/10
2018/11/01
-",ドローンを用いた作業を支援するシステムおよび方法,株式会社スカイマティクス,"G08G5/00@A 
G01C21/36 
B64C39/02 
他"
46,特願2017-068520,特開2018-169934,"2017/03/30
2018/11/01
-",ワイヤ放電加工機の制御装置及び機械学習装置,ファナック株式会社,"G05B19/4155@V 
B23Q15/00,301@C 
B23H7/02@S"
47,特願2017-068517,特開2018-169933,"2017/03/30
2018/11/01
-",作業支援方法及び作業支援装置,アズビル株式会社,"G05B19/418@Z 
G06Q50/04"
48,特願2017-068282,特開2018-169922,"2017/03/30
2018/11/01
-",物体の組合せ識別装置及びこれを備えた物体の取出し装置,株式会社津田商店 他,"G06T7/00,350@B 
G06T7/60,110"
49,特願2017-066929,特開2018-169818,"2017/03/30
2018/11/01
-",映像表示システムおよび製造装置,国立大学法人名古屋大学,"G05B23/02,301@N 
G05B23/02@G 
G05B23/02@R 
他"
